Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08111000 Stuttgart, Landeshauptstadt;367689;299390;68255;44;268815;65032;2048;266767;83980;54408;92023;16252;;;614;307;;8951;2430;113;;1331;1571;;;4586;;201;
08115001 Aidlingen;6531;5716;815;0;4840;776;48;4792;2112;1042;1005;308;;46;;;;65;47;;;52;17;;;98;;;
08115002 Altdorf;3217;2799;418;0;2474;403;14;2460;1043;516;606;126;;54;2;;;36;16;;;9;17;;;35;;;
08115003 Böblingen, Stadt;31552;28157;3395;0;20370;3216;189;20181;7971;5113;4351;1048;;165;95;;;570;138;;;255;74;;;401;;;
08115004 Bondorf;3946;3521;425;0;2907;406;40;2867;1212;598;654;162;;31;;;;64;45;;;31;13;;;57;;;
08115010 Deckenpfronn;2372;2087;285;0;1752;269;27;1725;759;331;424;98;;12;;;;28;15;;;23;11;;;24;;;
08115013 Ehningen;5588;4970;618;0;4220;586;57;4163;1719;1031;815;224;;51;15;;;94;22;;;46;22;;;124;;;
08115015 Gärtringen;8362;7243;1119;0;6147;1081;65;6082;2734;1272;1255;271;;81;27;;;143;41;;;77;23;;;158;;;
08115016 Gäufelden;6443;5812;631;0;4658;603;46;4612;1941;968;1001;251;;47;;;;97;54;;;84;21;;;148;;;
08115021 Herrenberg, Stadt;21901;19400;2501;0;16202;2388;136;16066;6515;3721;3801;835;;143;;;;336;120;;;200;107;;;288;;;
08115022 Hildrizhausen;2501;2172;329;0;1842;322;21;1821;856;390;372;93;;9;1;;;27;11;;;25;6;;;31;;;
08115024 Holzgerlingen;8763;7678;1085;0;6379;1051;85;6294;2577;1451;1428;350;;92;20;;;137;30;;;41;46;;;122;;;
08115028 Leonberg, Stadt;31052;26376;4676;0;22619;4444;183;22436;7962;4904;6236;1657;;137;;;;573;179;;;200;107;;;481;;;
08115029 Magstadt;5678;5080;598;0;3865;587;62;3803;1569;900;825;192;;36;7;;;95;30;;;56;12;;;81;;;
