id	name	Stimmberechtigte	A1	A2	A3	Abstimmende	mit Stimmschein	Ungueltige Stimmen	Gueltige Stimmen	Ja-Stimmen	Nein-Stimmen
08111000	Stuttgart, Landeshauptstadt	368732				249978		894	249084	117310	131774
08115001	Aidlingen	6540				4138		5	4133	1263	2870
08115002	Altdorf	3211				2136		8	2128	662	1466
08115003	Böblingen, Stadt	31570				16373		50	16323	5947	10376
08115004	Bondorf	3964				2426		9	2417	913	1504
08115010	Deckenpfronn	2379				1495		11	1484	462	1022
08115013	Ehningen	5613				3545		19	3526	1097	2429
08115015	Gärtringen	8394				5156		18	5138	1619	3519
08115016	Gäufelden	6433				3787		15	3772	1221	2551
08115021	Herrenberg, Stadt	21917				13672		27	13645	5015	8630
08115022	Hildrizhausen	2500				1519		4	1515	438	1077
08115024	Holzgerlingen	8753				5235		20	5215	1736	3479
08115028	Leonberg, Stadt	31059				19178		117	19061	7811	11250
08115029	Magstadt	5690				3170		18	3152	988	2164
08115034	Mötzingen	2461				1383		3	1380	428	952
08115037	Nufringen	3967				2666		9	2657	856	1801
08115041	Renningen, Stadt	11837				7582		22	7560	3159	4401
08115042	Rutesheim, Stadt	7071				4573		13	4560	1642	2918
08115044	Schönaich	6776				4063		10	4053	1336	2717
08115045	Sindelfingen, Stadt	38342				19802		82	19720	6764	12956
08115046	Steinenbronn	4058				2496		19	2477	971	1506
08115048	Waldenbuch, Stadt	5996				3896		11	3885	1484	2401
08115050	Weil der Stadt, Stadt	13410				7870		28	7842	3058	4784
08115051	Weil im Schönbuch	6813				4168		10	4158	1397	2761
08115052	Weissach	5509				3630		11	3619	1299	2320
08115053	Jettingen	5205				3016		11	3005	795	2210
08115054	Grafenau	4732				2934		19	2915	885	2030
08116004	Altbach	3962				2475		9	2466	820	1646
08116005	Altdorf	1091				724		5	719	220	499
08116006	Altenriet	1392				900		0	900	304	596
08116007	Baltmannsweiler	4219				2664		10	2654	971	1683
08116008	Bempflingen	2554				1635		5	1630	576	1054
08116011	Beuren	2722				1648		9	1639	509	1130
08116012	Bissingen an der Teck	2551				1752		14	1738	633	1105
08116014	Deizisau	4586				2985		11	2974	1054	1920
08116015	Denkendorf	7237				4424		19	4405	1869	2536
08116016	Dettingen unter Teck	4204				2686		26	2660	1025	1635
08116018	Erkenbrechtsweiler	1622				962		1	961	271	690
08116019	Esslingen am Neckar, Stadt	58269				35266		138	35128	15501	19627
08116020	Frickenhausen	6339				3711		20	3691	1104	2587
08116022	Großbettlingen	3178				1892		7	1885	627	1258
08116027	Hochdorf	3652				2419		8	2411	953	1458
08116029	Holzmaden	1596				1092		11	1081	483	598
08116033	Kirchheim unter Teck, Stadt	27769				15986		86	15900	7032	8868
08116035	Köngen	6802				4422		10	4412	1795	2617
08116036	Kohlberg	1758				1077		13	1064	272	792
08116037	Lichtenwald	1975				1342		1	1341	554	787
08116041	Neckartailfingen	2777				1736		7	1729	598	1131
08116042	Neckartenzlingen	4170				2360		3	2357	808	1549
08116043	Neidlingen	1341				896		5	891	243	648
08116046	Neuffen, Stadt	4572				2815		12	2803	811	1992
08116047	Neuhausen auf den Fildern	8476				5604		20	5584	2057	3527
08116048	Notzingen	2808				1890		5	1885	656	1229
08116049	Nürtingen, Stadt	27937				15798		60	15738	5699	10039
08116050	Oberboihingen	3939				2450		9	2441	803	1638
08116053	Ohmden	1324				886		5	881	306	575
08116054	Owen, Stadt	2529				1773		6	1767	570	1197
08116056	Plochingen, Stadt	9201				5573		21	5552	2243	3309
08116058	Reichenbach an der Fils	5550				3472		5	3467	1190	2277
08116063	Schlaitdorf	1353				923		3	920	317	603
08116068	Unterensingen	3347				2134		2	2132	803	1329
08116070	Weilheim an der Teck, Stadt	6705				4215		16	4199	1500	2699
08116071	Wendlingen am Neckar, Stadt	11000				6671		27	6644	2602	4042
08116072	Wernau (Neckar), Stadt	8685				5115		17	5098	1683	3415
08116073	Wolfschlugen	4690				3056		28	3028	1060	1968
08116076	Aichwald	5832				4126		9	4117	1497	2620
08116077	Filderstadt, Stadt	30650				19350		76	19274	7892	11382
08116078	Leinfelden-Echterdingen, Stadt	26053				17685		64	17621	8665	8956
08116079	Lenningen	5772				3434		10	3424	1089	2335
08116080	Ostfildern, Stadt	25684				17048		59	16989	7078	9911
08116081	Aichtal, Stadt	7310				4749		17	4732	1608	3124
08117001	Adelberg	1555				1027		4	1023	373	650
08117002	Aichelberg	978				598		1	597	250	347
08117003	Albershausen	3137				1796		4	1792	644	1148
08117006	Bad Ditzenbach	2786				1568		4	1564	500	1064
08117007	Bad Überkingen	3089				1878		3	1875	591	1284
08117009	Birenbach	1500				895		2	893	336	557
08117010	Böhmenkirch	4015				2166		6	2160	546	1614
08117011	Börtlingen	1352				841		4	837	315	522
08117012	Bad Boll	3864				2367		7	2360	1133	1227
08117014	Deggingen	4075				2293		8	2285	755	1530
08117015	Donzdorf, Stadt	8087				4497		9	4488	1339	3149
08117016	Drackenstein	339				180		1	179	64	115
08117017	Dürnau	1548				936		2	934	351	583
08117018	Ebersbach an der Fils, Stadt	10694				6520		20	6500	2408	4092
08117019	Eislingen/Fils, Stadt	13414				6154		19	6135	2352	3783
08117020	Eschenbach	1734				996		4	992	350	642
08117023	Gammelshausen	1133				647		0	647	192	455
08117024	Geislingen an der Steige, Stadt	17434				8162		68	8094	3456	4638
08117025	Gingen an der Fils	3177				1858		8	1850	611	1239
08117026	Göppingen, Stadt	38377				18509		60	18449	7598	10851
08117028	Gruibingen	1634				994		8	986	386	600
08117029	Hattenhofen	2323				1448		4	1444	437	1007
08117030	Heiningen	3856				2129		6	2123	788	1335
08117031	Hohenstadt	521				300		0	300	94	206
08117033	Kuchen	4147				2236		8	2228	882	1346
08117035	Mühlhausen im Täle	779				508		4	504	279	225
08117037	Ottenbach	1877				1070		2	1068	293	775
08117038	Rechberghausen	4185				2300		7	2293	830	1463
08117042	Salach	5415				2798		18	2780	883	1897
08117043	Schlat	1313				831		2	829	272	557
08117044	Schlierbach	2694				1680		10	1670	493	1177
08117049	Süßen, Stadt	6771				3689		10	3679	1372	2307
08117051	Uhingen, Stadt	9898				5361		18	5343	1869	3474
