nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
AT11	11523.9	11771.1	12318.3	13027.5	13923.5	13937.3	14402.1	15052.7	16057.0	16840.4	17825.5	18470.1
AT12	12871.0	13021.4	13665.6	14525.4	15537.4	15403.4	15765.8	16322.2	16928.0	17831.3	18813.9	19544.9
AT13	14683.3	14857.3	15374.7	16069.4	17056.0	16630.1	16928.8	17261.8	17699.9	18279.5	18977.4	19485.4
AT21	11795.8	11922.2	12421.4	13006.9	14042.2	13967.3	14393.7	14954.2	15521.1	16523.0	17420.1	18127.9
AT22	12031.6	12222.0	12755.1	13429.9	14425.1	14242.8	14685.7	15180.8	15686.9	16638.9	17560.7	18347.0
AT31	12460.4	12643.3	13179.3	13796.6	14869.5	14654.6	15008.0	15522.6	16281.2	17261.5	18266.9	18949.4
AT32	12879.1	12985.2	13544.3	14257.6	15264.9	15007.9	15416.9	15921.1	16505.8	17563.2	18509.2	19289.0
AT33	12029.3	12018.6	12697.8	13400.2	14507.7	14402.3	15030.8	15632.8	16203.9	17043.9	17868.1	18588.3
AT34	12591.4	12620.3	13488.1	14107.7	15568.7	15154.4	15641.8	16167.9	16716.1	17793.2	18803.9	19367.5
BE10	11964.2 	12419.1 	12524.6 	12921.1 	14262.5 	14704.8 	14815.3 	14217.0 	14258.1 	14377.9 	14982.8 	15437.6 
BE21	12450.8 	12725.3 	12939.1 	13448.4 	14864.9 	15451.8 	15797.8 	15111.7 	15361.8 	15745.8 	16323.8 	16782.0 
BE22	11310.7 	11515.2 	11601.2 	12105.2 	13458.1 	14099.9 	14403.3 	13843.8 	14115.1 	14562.5 	15180.1 	15685.5 
BE23	12526.2 	12844.2 	13044.1 	13598.6 	15023.8 	15576.5 	15923.9 	15206.7 	15505.0 	15970.6 	16625.4 	17229.6 
BE24	14158.6 	14644.5 	14951.8 	15515.5 	17096.3 	17710.0 	18260.0 	17538.8 	17733.8 	18205.6 	18892.6 	19529.8 
BE25	12079.0 	12307.5 	12470.3 	12944.1 	14405.3 	14844.4 	15099.3 	14457.0 	14769.7 	15224.0 	15842.9 	16439.0 
BE31	13740.4 	14302.9 	14468.9 	15148.1 	16529.7 	17074.6 	17476.7 	16704.5 	16911.6 	17215.1 	17873.1 	18369.1 
BE32	10573.6 	10788.8 	10863.3 	11296.2 	12443.8 	12760.7 	12984.5 	12503.4 	12565.9 	12939.6 	13455.8 	13917.5 
BE33	10932.8 	11169.1 	11203.8 	11770.1 	12751.6 	13177.1 	13430.4 	12897.2 	13147.3 	13466.2 	13950.4 	14354.7 
BE34	10811.9 	11081.5 	11072.7 	11449.0 	12086.1 	12674.8 	12629.5 	12233.4 	12515.3 	13170.2 	13636.9 	14132.7 
BE35	11020.8 	11308.0 	11390.6 	11944.0 	12921.0 	13339.7 	13592.2 	13044.7 	13291.9 	13622.1 	14313.3 	14754.9 
BG31	: 	: 	: 	: 	1907.4 	2251.9 	2384.6 	2590.2 	3021.0 	2844.8 	3092.6 	3575.0 
BG32	: 	: 	: 	: 	2020.3 	2480.0 	2760.5 	2729.6 	3186.6 	3357.3 	3534.1 	3807.6 
BG33	: 	: 	: 	: 	2082.3 	2300.4 	2496.7 	2787.8 	3249.4 	3177.7 	3522.9 	3787.1 
BG34	: 	: 	: 	: 	2341.9 	2498.8 	2839.8 	3039.5 	3549.9 	3481.5 	3787.4 	3887.7 
BG41	: 	: 	: 	: 	2694.7 	3163.6 	3323.6 	3458.8 	4228.8 	4250.1 	4495.2 	5541.1 
BG42	: 	: 	: 	: 	2302.9 	2345.8 	2520.4 	2822.9 	3137.1 	3191.8 	3339.3 	3615.2 
CZ01	7328.5 	7820.9 	7936.6 	8449.2 	8827.3 	9532.6 	9707.7 	10427.5 	10577.8 	11225.0 	12246.7 	13180.5 
CZ02	6003.9 	6313.4 	6390.0 	6732.3 	6937.6 	7275.4 	7591.8 	8113.6 	8341.8 	8823.4 	9546.0 	10458.0 
CZ03	5855.8 	6159.5 	5994.9 	6248.4 	6539.4 	6961.5 	6968.2 	7417.0 	7636.5 	8175.4 	8778.6 	9565.1 
CZ04	5586.9 	5884.9 	5701.6 	5895.0 	6172.6 	6440.6 	6401.6 	6780.1 	6876.3 	7362.3 	7945.8 	8517.1 
CZ05	5593.6 	6000.8 	5885.7 	6079.1 	6380.2 	6749.7 	6833.1 	7087.6 	7338.2 	7939.9 	8473.9 	9232.0 
CZ06	5586.7 	5846.6 	5777.3 	6019.3 	6290.2 	6701.0 	6778.9 	7152.4 	7473.8 	8012.2 	8478.9 	9463.0 
CZ07	5462.6 	5806.4 	5726.2 	5909.2 	6157.4 	6532.2 	6648.4 	7008.0 	7129.5 	7641.1 	8356.8 	9151.8 
CZ08	5618.8 	5787.6 	5618.1 	5790.1 	6001.7 	6373.5 	6420.2 	6702.0 	6881.4 	7559.7 	7962.1 	8785.8 
DE11	14738.3	15334.4	15763.7	16473.5	16998.8	17606.7	17720.1	18164.1	18680.5	19403.3	19983.2	20534.8
DE12	14039.6	14528.4	14842.4	15568.8	16151.5	16804.2	16933.7	17313.1	17738.8	18392.6	18929.5	19395.0
DE13	13655.5	14175.1	14512.1	15217.0	15723.8	16311.8	16535.9	17055.4	17579.6	18266.3	18813.6	19298.4
DE14	13847.3	14434.7	14853.8	15582.1	16170.8	16854.7	16900.8	17249.3	17653.8	18363.8	18928.6	19457.1
DE21	15354.4	15883.2	16447.5	17166.4	17643.7	18179.4	18303.1	18777.1	19358.6	20063.6	20653.2	20982.3
DE22	12474.9	12743.1	13040.7	13571.9	13971.6	14439.5	14633.1	15169.8	15810.6	16403.5	17077.6	17592.2
DE23	12626.8	12908.7	13202.0	13774.7	14247.0	14797.3	14918.9	15352.9	15826.7	16413.3	17017.0	17454.1
DE24	13592.0	13832.5	14129.3	14583.0	14928.2	15330.2	15512.7	15985.6	16471.6	17134.1	17849.7	18387.0
DE25	14254.3	14602.9	15007.2	15595.7	16051.2	16542.6	16645.4	17012.7	17437.9	18069.7	18678.3	19113.2
DE26	13162.5	13376.8	13631.6	14204.3	14694.7	15242.9	15440.8	15925.7	16446.3	17094.7	17777.6	18275.6
DE27	13518.6	13860.7	14228.3	14853.2	15353.3	15888.6	16070.0	16571.4	17140.0	17799.3	18491.2	18984.5
DE30	12709.6	12740.4	12689.6	13264.9	13420.5	13476.7	13484.7	13771.0	14032.2	14446.6	14830.0	15048.8
DE41	10916.9	11294.5	11525.9	12189.6	12576.0	12980.0	13048.3	13420.1	13915.1	14250.5	14695.7	15030.4
DE42	11210.6	11542.6	11767.5	12400.2	12869.2	13234.9	13477.5	13807.8	14293.8	14654.0	15101.3	15429.2
DE50	15385.5	16083.1	16464.1	17051.9	17765.1	18378.1	17965.6	18078.6	18192.8	19220.8	19806.5	20252.8
DE60	15944.5	16395.5	16636.1	17253.9	18047.2	19066.1	19393.7	20171.4	21208.4	22355.6	22355.4	22920.2
DE71	14424.2	14685.3	14937.1	15635.7	16098.8	16790.7	17041.0	17482.6	17992.5	18411.5	18926.6	19289.1
DE72	12845.5	13001.5	13319.7	13998.0	14362.1	14942.9	15205.8	15674.9	16143.4	16678.3	17299.0	17628.8
DE73	12588.7	12767.6	12988.2	13613.7	13988.7	14600.5	14917.5	15571.3	16007.2	16536.4	17103.0	17638.2
DE80	10321.0	10675.2	10921.5	11625.0	12046.7	12410.9	12553.8	12865.0	13269.4	13719.2	14073.1	14330.8
DE91	13117.2	13384.9	13602.9	14176.2	14538.4	14846.0	15214.7	15631.2	15831.0	16331.4	16702.3	17126.0
DE92	13595.0	13897.4	14140.1	14801.0	15256.2	15631.0	15691.2	16093.0	16425.4	17009.9	17402.9	17819.0
DE93	13607.4	13934.3	14128.3	14727.7	15179.9	15623.7	15597.6	16102.1	16665.8	17318.0	17751.7	18225.9
DE94	12288.2	12618.8	12806.4	13481.0	13995.7	14440.2	14403.6	14812.1	15206.9	15739.1	16101.4	16492.9
