geo	F	M	T	F/M	F-M
AT11	84.2	77.5	80.9	1.0864516129	6.7
AT12	82.7	77.4	80.1	1.0684754522	5.3
AT13	82.1	76.5	79.5	1.0732026144	5.6
AT21	83.8	77.8	80.8	1.0771208226	6
AT22	83.5	77.7	80.6	1.0746460746	5.8
AT31	83.5	77.9	80.8	1.0718870347	5.6
AT32	83.9	78.8	81.4	1.0647208122	5.1
AT33	84.4	78.6	81.6	1.0737913486	5.8
AT34	84.4	78.8	81.7	1.0710659898	5.6
BE10	82.6	77	80	1.0727272727	5.6
BE21	82.9	78.6	80.8	1.0547073791	4.3
BE22	83.5	78.8	81.2	1.0596446701	4.7
BE23	83.3	77.5	80.4	1.0748387097	5.8
BE24	84.1	78.8	81.5	1.0672588832	5.3
BE25	83.6	78.2	80.9	1.0690537084	5.4
BE31	83.1	78.5	80.9	1.0585987261	4.6
BE32	80.9	74.5	77.8	1.0859060403	6.4
BE33	81.6	76	78.8	1.0736842105	5.6
BE34	81.7	75.9	78.8	1.0764163373	5.8
BE35	82	75.4	78.7	1.0875331565	6.6
BG31	76.6	69.7	73.1	1.0989956958	6.9
BG32	77.4	69.6	73.4	1.1120689655	7.8
BG33	77	69.7	73.2	1.1047345768	7.3
BG34	76.6	69.6	73	1.1005747126	7
BG41	78.1	70.5	74.3	1.1078014184	7.6
BG42	77.9	70.8	74.3	1.1002824859	7.1
CH01	85	79.6	82.4	1.067839196	5.4
CH02	84.6	79.4	82.1	1.0654911839	5.2
CH03	84.2	80	82.2	1.0525	4.2
CH04	84.7	80.4	82.6	1.0534825871	4.3
CH05	84.2	79.9	82.2	1.0538172716	4.3
CH06	84.2	80.1	82.2	1.0511860175	4.1
CH07	86.3	80.7	83.7	1.0693928129	5.6
CY00	83.6	78.6	81.1	1.0636132316	5
CZ01	81.4	76.5	79.1	1.0640522876	4.9
CZ02	80.2	74.1	77.2	1.0823211876	6.1
CZ03	80.4	74.8	77.6	1.0748663102	5.6
CZ04	79.1	72.2	75.6	1.095567867	6.9
CZ05	80.9	74.7	77.9	1.0829986613	6.2
CZ06	81.3	74.8	78.1	1.0868983957	6.5
CZ07	80.7	73.8	77.2	1.093495935	6.9
CZ08	79.7	72.7	76.2	1.0962861073	7
DE11	84.1	79.5	81.8	1.0578616352	4.6
DE12	83.4	78.8	81.1	1.0583756345	4.6
DE13	83.8	79.6	81.7	1.0527638191	4.2
DE14	84	79.5	81.8	1.0566037736	4.5
DE21	83.7	79.2	81.5	1.0568181818	4.5
DE22	82.9	77.3	80.1	1.0724450194	5.6
DE23	82.8	77.3	80	1.0711513583	5.5
DE24	82.4	77	79.7	1.0701298701	5.4
DE25	83	77.7	80.4	1.0682110682	5.3
DE26	83.3	78.7	81	1.0584498094	4.6
DE27	83.1	78.6	80.9	1.0572519084	4.5
DE30	82.7	77.9	80.3	1.0616174583	4.8
DE50	81.9	76.8	79.4	1.06640625	5.1
DE60	82.6	78.3	80.5	1.054916986	4.3
DE71	83.3	79	81.2	1.0544303797	4.3
DE72	82.9	78	80.5	1.0628205128	4.9
DE73	82.8	77.7	80.2	1.0656370656	5.1
DE80	82.5	75.7	79.1	1.0898282695	6.8
DE91	82.7	77.4	80.1	1.0684754522	5.3
DE92	82.7	77.7	80.2	1.0643500644	5
DE93	82.4	77.3	79.9	1.0659767141	5.1
DE94	82.5	77.3	79.9	1.0672703752	5.2
DEA1	82.1	77.1	79.6	1.0648508431	5
DEA2	82.6	78.2	80.4	1.0562659847	4.4
DEA3	82.3	77.3	79.9	1.064683053	5
DEA4	83	77.9	80.5	1.0654685494	5.1
DEA5	82.2	77	79.6	1.0675324675	5.2
DEB1	82.3	77.6	79.9	1.0605670103	4.7
DEB2	82.6	77.9	80.3	1.0603337612	4.7
DEB3	82.6	78.1	80.4	1.0576184379	4.5
DEC0	81.8	76.8	79.3	1.0651041667	5
DED1	83.2	76.7	80	1.0847457627	6.5
DED2	83.8	77.5	80.6	1.0812903226	6.3
DED3	83.3	77.3	80.4	1.0776196636	6
DEE0	82	75.6	78.8	1.0846560847	6.4
DEF0	82.4	77.7	80.1	1.0604890605	4.7
DEG0	82.4	76.6	79.5	1.0757180157	5.8
DK01	80.9	76.6	78.9	1.0561357702	4.3
DK02	80.5	76.2	78.3	1.0564304462	4.3
DK03	81.1	76.8	79	1.0559895833	4.3
DK04	82	77.5	79.7	1.0580645161	4.5
DK05	80.6	77.2	78.9	1.0440414508	3.4
EE00	80.2	69.8	75.2	1.1489971347	10.4
ES11	84.9	78.1	81.5	1.0870678617	6.8
ES12	84.3	77.6	81	1.0863402062	6.7
ES13	85.7	78.6	82.1	1.0903307888	7.1
ES21	85.7	78.7	82.2	1.0889453621	7
ES22	86.6	80	83.3	1.0825	6.6
ES23	86.1	79.9	82.9	1.0775969962	6.2
ES24	85.5	79.1	82.3	1.0809102402	6.4
ES30	86.1	80.1	83.3	1.074906367	6
ES41	86.1	79.8	82.9	1.0789473684	6.3
ES42	85.3	79.8	82.5	1.0689223058	5.5
ES43	84.7	77.9	81.2	1.0872913992	6.8
ES51	85.1	79.1	82.1	1.0758533502	6
ES52	84.4	78.4	81.4	1.0765306122	6
ES53	84.2	78.5	81.3	1.072611465	5.7
ES61	83.6	77.4	80.5	1.0801033592	6.2
ES62	84	78.3	81.1	1.0727969349	5.7
ES63	81.5	75.8	78.6	1.0751978892	5.7
ES64	82.6	77.9	80.3	1.0603337612	4.7
ES70	84.3	78.7	81.5	1.0711562897	5.6
FI13	83.4	75.2	79.2	1.1090425532	8.2
FI18	83.3	76.8	80.1	1.0846354167	6.5
FI19	83.7	77	80.4	1.087012987	6.7
FI1A	83.6	76.6	80	1.091383812	7
FI20	84.5	79.5	82	1.0628930818	5
FR10	85.7	79.5	82.8	1.0779874214	6.2
FR21	84	76.2	80.1	1.1023622047	7.8
FR22	82.8	75.8	79.3	1.092348285	7
FR23	84	76.5	80.3	1.0980392157	7.5
FR24	84.9	77.6	81.3	1.0940721649	7.3
FR25	84.9	77.4	81.2	1.0968992248	7.5
FR26	84.4	77.4	80.9	1.0904392765	7
FR30	82.6	74.5	78.7	1.1087248322	8.1
FR41	83.8	77	80.5	1.0883116883	6.8
FR42	84.6	78.6	81.7	1.0763358779	6
FR43	84.9	77.9	81.4	1.0898587933	7
FR51	85.6	78.1	81.9	1.0960307298	7.5
FR52	84.6	76.8	80.8	1.1015625	7.8
FR53	85.5	78	81.7	1.0961538462	7.5
FR61	85.4	78.5	82	1.0878980892	6.9
FR62	85.4	79.2	82.4	1.0782828283	6.2
FR63	84.9	77.5	81.2	1.095483871	7.4
FR71	85.6	79	82.4	1.0835443038	6.6
FR72	84.5	77.2	80.9	1.0945595855	7.3
FR81	85.2	77.9	81.6	1.0937098845	7.3
FR82	85.3	78.5	82	1.0866242038	6.8
FR83	85.3	78.9	82.1	1.0811153359	6.4
FR91	85.3	77.8	81.7	1.0964010283	7.5
FR92	84.5	77.8	81.3	1.0861182519	6.7
FR93	81.4	75.2	78.2	1.0824468085	6.2
FR94	82.7	74.9	78.9	1.1041388518	7.8
GR11	81.3	76.1	78.7	1.0683311432	5.2
GR12	82.4	77.8	80.1	1.059125964	4.6
GR13	82.4	78.1	80.2	1.0550576184	4.3
GR14	82.2	77.4	79.8	1.0620155039	4.8
GR21	85.3	79.2	82.2	1.077020202	6.1
GR22	83.4	79.3	81.3	1.051702396	4.1
GR23	83.1	78	80.5	1.0653846154	5.1
GR24	83.1	78.4	80.6	1.0599489796	4.7
GR25	82.8	77.8	80.2	1.0642673522	5
GR30	82.6	77.7	80.1	1.0630630631	4.9
GR41	83.2	77.6	80.4	1.0721649485	5.6
GR42	82.8	78.9	80.8	1.0494296578	3.9
GR43	83.5	78.5	81	1.0636942675	5
HR01	79.7	72.7	76.3	1.0962861073	7
HR02	78.2	71.3	74.8	1.0967741935	6.9
HR03	81.2	74.8	78	1.0855614973	6.4
HU10	79.3	72.2	75.9	1.0983379501	7.1
HU21	78.2	69.9	74	1.1187410587	8.3
HU22	79.1	70.8	75	1.1172316384	8.3
HU23	78.2	69.8	74	1.1203438395	8.4
HU31	77.2	68.5	72.9	1.1270072993	8.7
HU32	78.1	69.5	73.8	1.1237410072	8.6
HU33	78.2	70	74.1	1.1171428571	8.2
IE01	82.6	77.8	80.1	1.0616966581	4.8
IE02	82.2	77.4	79.9	1.0620155039	4.8
IS00	83.8	79.8	81.8	1.0501253133	4
ITC1	84.1	79	81.6	1.064556962	5.1
ITC2	84.2	78.8	81.6	1.0685279188	5.4
ITC3	84.2	79.2	81.9	1.0631313131	5
ITC4	84.8	79.4	82.2	1.0680100756	5.4
ITD1	85.7	79.7	82.8	1.0752823087	6
ITD2	85.6	79.6	82.7	1.0753768844	6
ITD3	85.2	79.4	82.4	1.0730478589	5.8
ITD4	84.7	78.9	81.9	1.0735107731	5.8
ITD5	84.9	79.7	82.4	1.0652446675	5.2
ITE1	84.8	79.7	82.3	1.0639899624	5.1
ITE2	84.9	79.7	82.4	1.0652446675	5.2
ITE3	85.5	80.2	82.9	1.066084788	5.3
ITE4	84.4	79.2	82	1.0656565657	5.2
ITF1	85.1	79.2	82.2	1.0744949495	5.9
ITF2	85.3	78.4	81.8	1.0880102041	6.9
ITF3	83.1	77.7	80.5	1.0694980695	5.4
ITF4	84.6	79.5	82.1	1.0641509434	5.1
ITF5	84.7	79.3	82	1.0680958386	5.4
