unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
AT11	12382.3	12997.6	13710.6	14546.7	15452.9	15357.7	15826.4	16503.0	17749.0	18603.2	19764.1	20556.3
AT12	14566.4	15118.8	15933.8	16899.6	17948.3	17775.5	18040.8	18607.8	19295.3	20289.7	21483.4	22476.8
AT13	16562.1	17261.1	18026.9	18923.8	20061.4	19450.1	19540.6	19714.3	20101.3	20733.2	21657.1	22442.9
AT21	12582.0	13101.3	13742.9	14378.1	15375.0	15300.4	15604.5	16163.4	16821.9	17949.5	19037.0	20007.0
AT22	12971.5	13582.6	14287.5	15072.2	16107.0	15881.3	16279.1	16719.9	17318.4	18378.2	19491.9	20473.1
AT31	13997.1	14573.2	15326.4	16021.4	17083.7	16899.8	17189.6	17743.3	18678.3	19715.2	20999.7	21940.7
AT32	15054.0	15530.1	16261.4	17109.6	18188.1	17818.3	18109.3	18575.4	19271.8	20488.0	21565.9	22608.8
AT33	13953.3	14242.6	15041.4	15864.6	17037.5	16976.5	17613.2	18197.5	18839.2	19737.0	20725.0	21710.0
AT34	15251.5	15653.0	16748.6	17525.6	19161.0	18743.0	19163.1	19612.2	20262.1	21367.8	22561.7	23377.7
BE10	14761.4 	15436.4 	15672.6 	16286.9 	18053.7 	18566.4 	18749.8 	17805.8 	17817.2 	17899.1 	18391.2 	19114.3 
BE21	15791.5 	16324.2 	16659.8 	17381.0 	19250.4 	20070.0 	20520.3 	19516.6 	19844.4 	20408.9 	20939.6 	21685.8 
BE22	14030.2 	14389.3 	14642.2 	15325.9 	17165.3 	17828.5 	18218.9 	17442.7 	17798.0 	18271.3 	18892.6 	19530.2 
BE23	15885.1 	16517.3 	16840.6 	17611.0 	19511.9 	20230.3 	20755.3 	19777.4 	20220.6 	20890.5 	21467.4 	22400.8 
BE24	18822.9 	19648.3 	20113.1 	20971.6 	23114.5 	23995.2 	24630.0 	23552.7 	23999.2 	24704.6 	25308.3 	26356.4 
BE25	14761.2 	15245.7 	15480.7 	16076.0 	17937.6 	18451.5 	18870.7 	18008.7 	18488.1 	19062.9 	19665.2 	20413.8 
BE31	18115.0 	18914.9 	19234.0 	20202.2 	22105.9 	22725.2 	23273.7 	22105.0 	22516.1 	23115.4 	23699.9 	24532.2 
BE32	11685.0 	12052.6 	12221.3 	12739.1 	14130.2 	14489.9 	14849.9 	14190.5 	14330.3 	14786.0 	15309.0 	15937.7 
BE33	12733.9 	13150.3 	13277.5 	14037.3 	15203.5 	15699.1 	16154.0 	15405.7 	15760.2 	16067.1 	16549.7 	17148.3 
BE34	12702.7 	13182.2 	13213.7 	13710.1 	14382.6 	14973.3 	15325.8 	14839.7 	15572.5 	16204.3 	16993.0 	17650.0 
BE35	13418.5 	13895.9 	14061.8 	14842.9 	16103.6 	16615.7 	17135.6 	16370.0 	16646.8 	17201.7 	17820.8 	18527.6 
BG31	: 	: 	: 	: 	1854.8 	2084.4 	2047.5 	2398.9 	2784.2 	2509.5 	2787.1 	3405.8 
BG32	: 	: 	: 	: 	2052.6 	2399.2 	2684.8 	2701.8 	3095.0 	3322.0 	3530.6 	3808.1 
BG33	: 	: 	: 	: 	2202.2 	2305.9 	2426.4 	2902.2 	3323.7 	3215.8 	3585.4 	3889.5 
