GEO,T-Y15-24,F-Y15-24,M-Y15-24,T-Y-GE25,F-Y-GE25,M-Y-GE25,AREA
ES11,35.4,36.7,34.4,13.8,14.8,13,17697
ES12,37.3,33.9,40,14.6,15.8,13.6,6030
ES13,36.3,39.7,33.3,14.6,15.8,13.6,2897
ES21,30.3,27.1,33.2,9.3,10,8.7,4660
ES22,30.3,30.9,29.8,10.3,10.6,10,5619
ES23,39.3,47.1,33.7,10.3,10.6,10,2625
ES24,32,35,29.6,12.5,14.1,11.2,28034
ES30,37.3,35.5,38.9,14.2,14.6,13.8,4114
ES41,34.4,35.1,33.8,14.2,16.6,12.4,56272
ES42,43.1,43.4,42.8,14.2,16.6,12.4,47377
ES43,45.9,48.1,44.1,20.3,24.1,17.7,24706
ES51,39.5,32.6,45.4,15.6,15,16.1,18965
ES52,42,43.2,41,21.4,21,21.7,11888
ES53,43,35.5,49.4,17.9,17.8,17.9,2824
ES61,49.9,48.9,50.8,25.4,27,24.2,52598
ES62,39.1,36,41.5,21.6,21.4,21.8,6324
ES63,60.2,75.3,51.3,19.7,22.4,18.1,849
ES64,53.7,68.6,42.9,20,27.1,15.2,--
ES70,51.7,47.2,55.4,26.4,26.1,26.7,--



