GEO,T-Y15-24,F-Y15-24,M-Y15-24,T-Y-GE25,F-Y-GE25,M-Y-GE25
EU27,20.9,20.1,21.7,8.3,8.4,8.2
EU27,20.9,20.1,21.7,8.3,8.4,8.2
EU25,20.9,20.0,21.6,8.3,8.4,8.2
EU25,20.9,20.0,21.6,8.4,8.5,8.3
EU15,20.3,19.3,21.1,8.4,8.5,8.3
EU15,20.3,19.3,21.1,8.2,8.4,8.2
NMS10,24.8,25.2,24.5,8.2,8.4,8.2
NMS10,24.8,25.2,24.5,9.1,9.3,8.9
EA13,20.5,19.9,20.9,9.1,9.3,8.9
EA13,20.5,19.9,20.9,8.8,9.1,8.6
EA12,20.5,20.0,20.9,8.8,9.1,8.6
EA12,20.5,20.0,20.9,8.8,9.2,8.6
EA11,20.2,19.5,20.8,8.8,9.2,8.6
EA11,20.2,19.5,20.8,8.8,9.0,8.6
BE,22.4,22.4,22.4,8.8,9.0,8.6
BE,22.4,22.4,22.4,6.9,7.2,6.7
BE1,39.7,38.9,40.4,6.9,7.2,6.7
BE1,39.7,38.9,40.4,15.5,16.2,15.0
BE10,39.7,38.9,40.4,15.5,16.2,15.0
BE10,39.7,38.9,40.4,15.5,16.2,15.0
BE2,15.6,15.8,15.4,15.5,16.2,15.0
BE2,15.6,15.8,15.4,4.2,4.1,4.2
BE21,18.2,16.2,19.8,4.2,4.1,4.2
BE21,18.2,16.2,19.8,4.9,4.8,5.1
BE22,17.4,19.0,16.1,4.9,4.8,5.1
BE22,17.4,19.0,16.1,4.1,3.9,4.2
BE23,15.7,15.7,15.7,4.1,3.9,4.2
BE23,15.7,15.7,15.7,4.2,3.6,4.7
BE24,15.1,14.0,16.0,4.2,3.6,4.7
BE24,15.1,14.0,16.0,4.1,4.3,3.8
BE25,11.0,14.5,8.0,4.1,4.3,3.8
BE25,11.0,14.5,8.0,3.1,3.5,2.7
BE3,30.0,30.1,29.9,3.1,3.5,2.7
BE3,30.0,30.1,29.9,9.5,10.3,8.8
BE31,27.1,22.8,31.1,9.5,10.3,8.8
BE31,27.1,22.8,31.1,6.9,8.0,6.0
BE32,35.9,36.4,35.5,6.9,8.0,6.0
BE32,35.9,36.4,35.5,11.5,12.8,10.4
BE33,27.3,29.7,25.5,11.5,12.8,10.4
BE33,27.3,29.7,25.5,9.9,9.8,10.0
BE34,19.9,16.5,22.5,9.9,9.8,10.0
BE34,19.9,16.5,22.5,6.0,7.0,5.2
BE35,28.0,26.8,28.9,6.0,7.0,5.2
BE35,28.0,26.8,28.9,7.7,9.3,6.4
BG,23.2,21.7,24.1,7.7,9.3,6.4
BG,23.2,21.7,24.1,9.1,8.6,9.6
BG3,25.0,23.8,25.9,9.1,8.6,9.6
BG3,25.0,23.8,25.9,10.8,10.2,11.4
BG31,23.5,16.3,28.6,10.8,10.2,11.4
BG31,23.5,16.3,28.6,10.0,9.3,10.7
BG32,24.5,27.5,22.6,10.0,9.3,10.7
BG32,24.5,27.5,22.6,10.3,9.0,11.5
BG33,25.8,23.7,27.3,10.3,9.0,11.5
BG33,25.8,23.7,27.3,13.5,13.0,13.8
BG34,25.7,26.1,25.5,13.5,13.0,13.8
BG34,25.7,26.1,25.5,9.4,9.3,9.4
BG4,21.3,19.8,22.4,9.4,9.3,9.4
BG4,21.3,19.8,22.4,7.5,7.1,7.8
BG41,15.2,14.3,15.9,7.5,7.1,7.8
BG41,15.2,14.3,15.9,6.0,5.8,6.3
BG42,31.8,30.4,32.6,6.0,5.8,6.3
BG42,31.8,30.4,32.6,9.7,9.2,10.2
CZ,18.3,18.5,18.2,9.7,9.2,10.2
CZ,18.3,18.5,18.2,6.4,7.7,5.3
CZ0,18.3,18.5,18.2,6.4,7.7,5.3
CZ0,18.3,18.5,18.2,6.4,7.7,5.3
CZ01,8.8,4.0,12.3,6.4,7.7,5.3
CZ01,8.8,4.0,12.3,3.4,4.1,2.9
CZ02,16.0,18.9,14.3,3.4,4.1,2.9
CZ02,16.0,18.9,14.3,4.3,5.4,3.5
CZ03,15.6,15.6,15.6,4.3,5.4,3.5
CZ03,15.6,15.6,15.6,4.7,5.9,3.8
